frame_idx,true_vehicle_count,vae_anomaly_score,is_anomaly,RL_action
7987,7.0,0.0122323101993029,0,
7988,6.0,0.0120279137488379,0,
7989,2.0,0.0118805724662997,0,
7990,4.0,0.0095521414231008,0,
7991,6.0,0.0063494961001227,0,
7992,8.0,0.0059078481795067,0,
7993,6.0,0.0062294408447321,0,
7994,1.0,0.0048243812456008,0,
7995,5.0,0.0057332211360441,0,
7996,11.0,0.0052539015810097,0,
7997,2.0,0.0073507588362779,0,
7998,3.0,0.0079929883357942,0,
7999,9.0,0.0087028053355775,0,
8000,5.0,0.0088639522549377,0,
8001,5.0,0.0086662986938647,0,
8002,4.0,0.0082347782653826,0,0.0
8003,3.0,0.0080948573721222,0,0.0
8004,6.0,0.0091213615003488,0,0.0
8005,4.0,0.0079661618830839,0,0.0
8006,7.0,0.0080239569627342,0,0.0
8007,3.0,0.0078096168339958,0,0.0
8008,7.0,0.0080070557630561,0,0.0
8009,9.0,0.0081949515571867,0,0.0
8010,2.0,0.0074774721224301,0,0.0
8011,2.0,0.008258830514101,0,0.0
8012,8.0,0.0071713198308354,0,0.0
8013,3.0,0.0067169532622004,0,0.0
8014,6.0,0.0066798638633197,0,0.0
8015,10.0,0.0055862958778006,0,0.0
8016,9.0,0.0072471594945438,0,0.0
8017,5.0,0.0082625337495316,0,0.0
8018,4.0,0.0080413287233711,0,0.0
8019,5.0,0.0075708057234946,0,0.0
8020,1.0,0.0076493080131596,0,0.0
8021,6.0,0.0092274941863859,0,0.0
8022,21.0,0.0092891526568188,0,0.0
8023,3.0,0.0276374683669616,0,0.0
8024,9.0,0.0279842815608768,0,0.0
8025,3.0,0.0280550468267405,0,0.0
8026,4.0,0.0271465752510037,0,0.0
8027,5.0,0.026908989457342,0,0.0
8028,2.0,0.0258430269062867,0,0.0
8029,6.0,0.0266080843632338,0,0.0
8030,0.0,0.0268617169821046,0,0.0
8031,10.0,0.0276651011539443,0,0.0
8032,11.0,0.0284219364023227,0,0.0
8033,5.0,0.0301229080367411,0,0.0
8034,6.0,0.0300287502550604,0,0.0
8035,6.0,0.0302508696783267,0,0.0
8036,5.0,0.0287334683553379,0,0.0
8037,3.0,0.0285468053880023,0,1.0
8038,6.0,0.0100051332127259,0,0.0
8039,2.0,0.0098011676570909,0,0.0
8040,1.0,0.0097271641426528,0,0.0
8041,1.0,0.0111390139705682,0,0.0
