frame_idx,true_vehicles,predicted_vehicles
0,0.0,5.250742197036743
1,10.0,4.7624311447143555
2,6.0,5.469112738966942
3,0.0,5.461290687322617
4,5.0,4.819744169712067
5,5.0,5.0085654109716415
6,5.0,5.145163297653198
7,8.0,5.195186659693718
8,1.0,5.495574444532394
9,4.0,5.0745608657598495
10,3.0,5.018745616078377
11,2.0,5.181035578250885
12,3.0,5.381590113043785
13,4.0,5.013296410441399
14,2.0,4.9776803851127625
15,29.0,4.8142310082912445
16,4.0,6.5407160967588425
17,8.0,5.8520026206970215
18,10.0,5.736912027001381
19,6.0,6.283822998404503
20,8.0,5.764448449015617
21,2.0,5.688155680894852
22,7.0,5.1330549120903015
23,5.0,5.36902928352356
24,1.0,5.56611767411232
25,1.0,4.958617240190506
26,2.0,4.672928050160408
27,0.0,4.675297871232033
28,17.0,4.491012305021286
29,9.0,5.935007721185684
30,1.0,5.9313622415065765
31,7.0,5.095165863633156
32,4.0,5.3073218911886215
33,4.0,5.1790948659181595
34,6.0,5.714870184659958
35,3.0,5.581108391284943
36,1.0,5.117136403918266
37,4.0,4.742826536297798
38,3.0,4.901186242699623
39,3.0,4.911563500761986
40,4.0,5.275127068161964
41,4.0,5.237565144896507
42,9.0,5.085994690656662
43,13.0,5.6324916779994965
44,9.0,6.108678787946701
45,11.0,6.197739809751511
46,1.0,6.072992324829102
47,3.0,5.204671561717987
48,0.0,4.981239438056946
49,5.0,4.638003438711166
50,7.0,4.968905910849571
51,3.0,5.3391411900520325
52,8.0,5.093926936388016
53,3.0,5.553685188293457
54,0.0,5.161383435130119
55,12.0,4.664733931422234
56,3.0,5.699732109904289
57,6.0,5.24250054359436
58,2.0,5.532679170370102
59,1.0,5.032066568732262
60,4.0,4.704330340027809
61,14.0,5.252424493432045
62,9.0,6.131894737482071
63,6.0,6.026858165860176
64,4.0,5.635193377733231
65,11.0,5.277977854013443
66,4.0,5.801985740661621
67,6.0,5.406061843037605
68,1.0,5.395281404256821
69,8.0,5.043111905455589
70,7.0,5.406238153576851
71,7.0,5.510774746537209
72,2.0,5.5409450232982635
73,6.0,5.0626503974199295
74,8.0,5.2286376953125
75,4.0,5.52715477347374
76,10.0,5.268588021397591
77,12.0,6.13684655725956
78,15.000000000000002,6.11886590719223
79,1.0,6.283498466014862
80,0.0,5.341883510351181
81,1.0,4.732709854841232
82,7.0,4.734124228358269
83,6.0,5.210599139332771
84,12.0,5.343452155590057
85,1.0,5.927575021982193
86,7.0,5.126030579209328
87,21.0,5.681706085801125
88,7.0,6.434190824627876
89,5.0,6.0077034085989
90,7.0,5.556511342525482
91,5.0,5.5370316207408905
92,1.0,5.501370221376419
93,1.0,4.9487810134887695
94,11.0,4.689401417970657
95,5.0,5.541801944375038
96,9.0,5.397197917103767
97,5.0,5.6647219359874725
98,3.0,5.5379896610975266
99,9.0,5.135964900255203
100,1.0,5.537777915596962
101,9.0,5.231413722038269
102,11.0,5.557385548949242
103,2.0,5.928837284445763
104,2.0,5.2260928601026535
105,9.0,4.898410215973854
106,3.0,5.4529751390218735
107,7.0,5.283867835998535
108,7.0,5.418923869729042
109,4.0,5.5000885128974915
110,8.0,5.245729014277458
111,0.0,5.743609234690666
112,5.0,4.92443935573101
113,5.0,5.033266603946686
114,4.0,5.1527204513549805
115,10.0,5.106826558709145
116,16.0,5.642630830407143
117,12.0,6.25929768383503
118,12.0,6.206621021032333
119,3.0,6.249066919088364
120,2.0,5.511839523911476
121,5.0,5.875830039381981
122,6.0,5.405032068490982
123,9.0,5.340846821665764
124,3.0,5.651262700557709
125,7.0,5.2361317574977875
