frame_idx,true_vehicle_count,vae_anomaly_score,is_anomaly
7987,7.0,0.012232310199302925,0
7988,6.0,0.012027913748837911,0
7989,2.0,0.011880572466299703,0
7990,4.0,0.00955214142310083,0
7991,6.0,0.006349496100122715,0
7992,8.0,0.005907848179506747,0
7993,6.0,0.0062294408447321524,0
7994,1.0,0.004824381245600874,0
7995,5.0,0.0057332211360441665,0
7996,11.0,0.0052539015810097595,0
7997,2.0,0.007350758836277903,0
7998,3.0,0.00799298833579427,0
7999,9.0,0.00870280533557751,0
8000,5.0,0.008863952254937718,0
8001,5.0,0.008666298693864705,0
8002,4.0,0.008234778265382669,0
8003,3.0,0.008094857372122219,0
8004,6.0,0.009121361500348833,0
8005,4.0,0.00796616188308396,0
8006,7.0,0.008023956962734217,0
8007,3.0,0.007809616833995832,0
8008,7.0,0.008007055763056166,0
8009,9.0,0.008194951557186716,0
8010,2.0,0.00747747212243012,0
8011,2.0,0.008258830514101078,0
8012,8.0,0.007171319830835476,0
8013,3.0,0.006716953262200402,0
8014,6.0,0.006679863863319795,0
8015,10.0,0.00558629587780068,0
8016,9.0,0.007247159494543883,0
8017,5.0,0.008262533749531642,0
8018,4.0,0.008041328723371138,0
8019,5.0,0.0075708057234946955,0
8020,1.0,0.007649308013159687,0
8021,6.0,0.009227494186385906,0
8022,21.0,0.00928915265681886,0
8023,3.0,0.027637468366961637,0
8024,9.0,0.02798428156087683,0
8025,3.0,0.02805504682674053,0
8026,4.0,0.027146575251003745,0
8027,5.0,0.026908989457342037,0
8028,2.0,0.025843026906286745,0
8029,6.0,0.026608084363233853,0
8030,0.0,0.02686171698210461,0
8031,10.0,0.027665101153944376,0
8032,11.0,0.028421936402322715,0
8033,5.0,0.03012290803674112,0
8034,6.0,0.030028750255060414,0
8035,6.0,0.030250869678326704,0
8036,5.0,0.028733468355337983,0
8037,3.0,0.028546805388002347,0
8038,6.0,0.010005133212725949,0
8039,2.0,0.009801167657090989,0
8040,1.0,0.009727164142652879,0
8041,1.0,0.011139013970568228,0
8042,4.0,0.011916989782392003,0
8043,13.0,0.012692452331015744,0
8044,4.0,0.015763595119861286,0
8045,4.0,0.015668134277298733,0
8046,8.0,0.013578754576874484,0
8047,12.0,0.012362793798042117,0
8048,2.0,0.013783219574565042,0
8049,17.0,0.014285108118791391,0
8050,3.0,0.024528531354337985,0
8051,2.0,0.025574785214610717,0
8052,9.0,0.026781475825306638,0
8053,5.0,0.02720302256516171,0
8054,1.0,0.027091302117064404,0
8055,3.0,0.02812022505751457,0
8056,9.0,0.026204513437704254,0
8057,12.0,0.025890771439982342,0
8058,2.0,0.029150396263778137,0
8059,5.0,0.025248247864139102,0
8060,4.0,0.025136099511123264,0
8061,4.0,0.02579126026053582,0
8062,2.0,0.025144750558801485,0
8063,7.0,0.02263326692516021,0
8064,8.0,0.02171387290634923,0
8065,9.0,0.012140794725800742,0
8066,4.0,0.012620630039258328,0
8067,2.0,0.011485891031093981,0
8068,1.0,0.011192637176129306,0
8069,5.0,0.013409560716820371,0
8070,0.0,0.011976039826921204,0
8071,9.0,0.013421616146312043,0
8072,1.0,0.013472451177820206,0
8073,13.0,0.011823807236097347,0
8074,7.0,0.015301775318260553,0
8075,2.0,0.014992978111666031,0
8076,7.0,0.015657710909007423,0
8077,6.0,0.016342191065854786,0
8078,2.0,0.015163816238616564,0
8079,5.0,0.01603818117165542,0
8080,13.0,0.015227467956554028,0
8081,10.0,0.01965720230571154,0
8082,4.0,0.020266041441424465,0
8083,7.0,0.01988620327537216,0
8084,14.0,0.018063835388892634,0
8085,2.0,0.024689372688939285,0
8086,0.0,0.022842357732527647,0
8087,0.0,0.02382925775127823,0
8088,3.0,0.02482997068535502,0
8089,2.0,0.02119688269491351,0
8090,6.0,0.02197635250142516,0
8091,5.0,0.020774064310119647,0
8092,0.0,0.020301661199310816,0
8093,12.0,0.023128407385946254,0
8094,1.0,0.02498391745338246,0
8095,0.0,0.026159390539793985,0
8096,11.0,0.02429719349332277,0
8097,1.0,0.025527201626113445,0
8098,10.0,0.02683922549486263,0
8099,8.0,0.028853051610649178,0
8100,7.0,0.022942473651215354,0
8101,2.0,0.02253008013970812,0
8102,4.0,0.02069545960932496,0
8103,8.0,0.018707739551728903,0
8104,17.0,0.018674189790141318,0
8105,2.0,0.028447929337165164,0
8106,5.0,0.029123501198599782,0
8107,6.0,0.029366445453158106,0
8108,2.0,0.027116446340660287,0
8109,5.0,0.024570021796534367,0
8110,3.0,0.02287713206216868,0
8111,0.0,0.021103797766909616,0
8112,9.0,0.021515586714671252,0
8113,15.000000000000002,0.020478045564473017,0
8114,8.0,0.026181327848069917,0
8115,3.0,0.025256912779699995,0
8116,13.0,0.02639759434722605,0
8117,4.0,0.029877001183435243,0
8118,5.0,0.03032873561902046,0
8119,4.0,0.028803691050704718,0
8120,14.0,0.018710370894917193,0
8121,8.0,0.02390307186159451,0
8122,14.0,0.023939635629833016,0
8123,5.0,0.029681493028477883,0
8124,18.0,0.028308649494352037,0
8125,0.0,0.041186800784130326,1
8126,0.0,0.043844486902443816,1
8127,3.0,0.04278016847798704,1
8128,7.0,0.042515074416670476,1
8129,14.0,0.03630137293207632,0
8130,9.0,0.04194027760996595,1
8131,9.0,0.04090364569050946,1
8132,5.0,0.03905698157144401,1
8133,10.0,0.037668031492251425,1
8134,11.0,0.039617369525458884,1
8135,0.0,0.04074152034625819,1
8136,1.0,0.037501546422378323,1
8137,9.0,0.03923609191050749,1
8138,17.0,0.0349274862520813,0
8139,11.0,0.04553503475759275,1
8140,4.0,0.034924532282244215,0
8141,4.0,0.03311789536049289,0
8142,5.0,0.031075479461683122,0
8143,8.0,0.030761366140178183,0
8144,1.0,0.030819535565524036,0
8145,6.0,0.025921333514176106,0
8146,8.0,0.02572471485945121,0
8147,4.0,0.0253891367649587,0
8148,9.0,0.02579444411390269,0
8149,3.0,0.024299037835496157,0
8150,3.0,0.02229872543521371,0
8151,5.0,0.020401293490326083,0
8152,8.0,0.01942162350188855,0
8153,6.0,0.01869081225322281,0
8154,14.0,0.007855715222496765,0
8155,7.0,0.011447681288683077,0
8156,3.0,0.01158715125115977,0
8157,2.0,0.011729244549682324,0
8158,6.0,0.012541870180465656,0
8159,8.0,0.012369136220478699,0
8160,1.0,0.01104706719030859,0
8161,2.0,0.012667530002331213,0
8162,7.0,0.013441089298374644,0
8163,7.0,0.013290087784483607,0
8164,12.0,0.012594495754939311,0
8165,14.0,0.015167181290726752,0
8166,7.0,0.020192347109720697,0
8167,5.0,0.021025225161635366,0
8168,18.0,0.02062083587463307,0
8169,4.0,0.033127574245400276,0
8170,8.0,0.0270515003444757,0
8171,8.0,0.027404598388358997,0
8172,9.0,0.027215709928576578,0
8173,3.0,0.028138993179635908,0
8174,5.0,0.027227055699022264,0
8175,2.0,0.02777390488693704,0
8176,2.0,0.02688212665512698,0
8177,5.0,0.026607040833899753,0
8178,7.0,0.02732773084337684,0
8179,6.0,0.026985926005706148,0
8180,10.0,0.022555649460122482,0
8181,4.0,0.019150226374660462,0
8182,7.0,0.019560879989168008,0
8183,14.0,0.01862875588667984,0
8184,12.0,0.012353961305621858,0
8185,0.0,0.015423656664544871,0
8186,4.0,0.017064310850074153,0
8187,1.0,0.0175041111763002,0
8188,13.0,0.018797504077198064,0
8189,7.0,0.022340124760658574,0
